seed,controller,return_A,return_B,return_C,return_D,agg_return,mean_queue,mean_waiting,throughput
1001,Fixed-Time,-787.82,-1024.67,-1198.62,-806.27,-3817.38,15.18,160.44,105
1002,Fixed-Time,-765.27,-943.62,-803.67,-838.97,-3351.53,13.32,140.88,116
1003,Fixed-Time,-1132.67,-1127.72,-1004.72,-1086.32,-4351.43,16.92,183.67,105
1004,Fixed-Time,-818.62,-1083.47,-713.87,-867.07,-3483.03,14.14,145.81,114
1005,Fixed-Time,-790.27,-949.07,-771.37,-1095.77,-3606.48,14.14,151.97,89
1006,Fixed-Time,-885.77,-945.32,-987.92,-1333.07,-4152.08,16.25,175.03,121
1007,Fixed-Time,-761.42,-865.77,-1084.37,-755.82,-3467.38,13.63,146.05,99
1008,Fixed-Time,-868.17,-824.47,-846.22,-752.07,-3290.93,13.35,137.78,113
1009,Fixed-Time,-956.42,-931.07,-669.72,-787.87,-3345.08,13.25,140.69,99
1010,Fixed-Time,-808.07,-954.82,-947.57,-570.17,-3280.63,13.04,137.88,111
1001,IPPO,-216.25,-256.75,-279.80,-335.15,-1087.95,8.75,36.70,112
1002,IPPO,-195.80,-201.85,-174.40,-171.85,-743.90,6.41,24.17,119
1003,IPPO,-305.85,-291.60,-257.15,-240.10,-1094.70,9.77,34.99,105
1004,IPPO,-252.65,-217.25,-169.65,-209.55,-849.10,7.60,27.05,103
1005,IPPO,-181.35,-167.30,-225.40,-291.75,-865.80,7.68,27.73,113
1006,IPPO,-242.55,-252.95,-208.60,-208.75,-912.85,8.13,29.18,105
1007,IPPO,-212.55,-184.45,-211.15,-231.45,-839.60,7.44,26.91,108
1008,IPPO,-228.70,-219.75,-229.40,-184.90,-862.75,7.59,27.76,94
1009,IPPO,-210.25,-238.55,-142.00,-239.50,-830.30,7.32,26.68,101
1010,IPPO,-186.30,-242.60,-232.45,-140.00,-801.35,7.04,25.79,89
1001,MAPPO,-216.25,-256.75,-279.80,-335.15,-1087.95,8.75,36.70,112
1002,MAPPO,-195.80,-201.85,-174.40,-171.85,-743.90,6.41,24.17,119
1003,MAPPO,-305.85,-291.60,-257.15,-240.10,-1094.70,9.77,34.99,105
1004,MAPPO,-252.65,-217.25,-169.65,-209.55,-849.10,7.60,27.05,103
1005,MAPPO,-181.35,-167.30,-225.40,-291.75,-865.80,7.68,27.73,113
1006,MAPPO,-242.55,-252.95,-208.60,-208.75,-912.85,8.13,29.18,105
1007,MAPPO,-212.55,-184.45,-211.15,-231.45,-839.60,7.44,26.91,108
1008,MAPPO,-228.70,-219.75,-229.40,-184.90,-862.75,7.59,27.76,94
1009,MAPPO,-210.25,-238.55,-142.00,-239.50,-830.30,7.32,26.68,101
1010,MAPPO,-186.30,-242.60,-232.45,-140.00,-801.35,7.04,25.79,89
