seed,episode,controller,mean_delay,mean_queue,throughput,task_return,comm_cost,adjusted_return,possible_comm,actual_comm,comm_ratio,mean_C_ij
1001,1,Phase 7: GAT + Comm Gate,36.6975,8.75,54,-1087.95,8.000000000000005,-1095.95,800,800,1.0,N/A
1002,2,Phase 7: GAT + Comm Gate,24.17,6.4125,42,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0,N/A
1003,3,Phase 7: GAT + Comm Gate,34.995,9.77,59,-1094.7,8.000000000000005,-1102.7,800,800,1.0,N/A
1004,4,Phase 7: GAT + Comm Gate,27.05,7.6025,54,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0,N/A
1005,5,Phase 7: GAT + Comm Gate,27.735,7.6775,50,-865.8,8.000000000000005,-873.8,800,800,1.0,N/A
1006,6,Phase 7: GAT + Comm Gate,29.1825,8.13,53,-912.85,8.000000000000005,-920.85,800,800,1.0,N/A
1007,7,Phase 7: GAT + Comm Gate,26.905,7.4375,52,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0,N/A
1008,8,Phase 7: GAT + Comm Gate,27.7625,7.5875,54,-862.75,8.000000000000005,-870.75,800,800,1.0,N/A
1009,9,Phase 7: GAT + Comm Gate,26.685,7.315,52,-830.3,8.000000000000005,-838.3,800,800,1.0,N/A
1010,10,Phase 7: GAT + Comm Gate,25.7875,7.04,52,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0,N/A
1001,1,Phase 8: GAT + Causal Gate,36.6975,8.75,54,-1087.95,8.000000000000005,-1095.95,800,800,1.0,0.5848673518420263
1002,2,Phase 8: GAT + Causal Gate,24.17,6.4125,42,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0,0.5784385560544826
1003,3,Phase 8: GAT + Causal Gate,34.995,9.77,59,-1094.7,8.000000000000005,-1102.7,800,800,1.0,0.6125037488170316
1004,4,Phase 8: GAT + Causal Gate,27.05,7.6025,54,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0,0.5939111550653396
1005,5,Phase 8: GAT + Causal Gate,27.735,7.6775,50,-865.8,8.000000000000005,-873.8,800,800,1.0,0.5951747386755635
1006,6,Phase 8: GAT + Causal Gate,29.1825,8.13,53,-912.85,8.000000000000005,-920.85,800,800,1.0,0.5829857053982875
1007,7,Phase 8: GAT + Causal Gate,26.905,7.4375,52,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0,0.5885120398786736
1008,8,Phase 8: GAT + Causal Gate,27.7625,7.5875,54,-862.75,8.000000000000005,-870.75,800,800,1.0,0.5975326023435893
1009,9,Phase 8: GAT + Causal Gate,26.685,7.315,52,-830.3,8.000000000000005,-838.3,800,800,1.0,0.5838291975123424
1010,10,Phase 8: GAT + Causal Gate,25.7875,7.04,52,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0,0.568396141468944
