seed,episode,controller,mean_delay,mean_queue,throughput,task_return,comm_cost,adjusted_return,possible_comm,actual_comm,comm_ratio
1001,1,Phase 6: GAT (No Gating),36.6975,8.75,112,-1087.95,N/A,N/A,N/A,N/A,N/A
1002,2,Phase 6: GAT (No Gating),24.17,6.4125,119,-743.9000000000001,N/A,N/A,N/A,N/A,N/A
1003,3,Phase 6: GAT (No Gating),34.995,9.77,105,-1094.7,N/A,N/A,N/A,N/A,N/A
1004,4,Phase 6: GAT (No Gating),27.05,7.6025,103,-849.0999999999999,N/A,N/A,N/A,N/A,N/A
1005,5,Phase 6: GAT (No Gating),27.735,7.6775,113,-865.8,N/A,N/A,N/A,N/A,N/A
1006,6,Phase 6: GAT (No Gating),29.1825,8.13,105,-912.85,N/A,N/A,N/A,N/A,N/A
1007,7,Phase 6: GAT (No Gating),26.905,7.4375,108,-839.5999999999999,N/A,N/A,N/A,N/A,N/A
1008,8,Phase 6: GAT (No Gating),27.7625,7.5875,94,-862.75,N/A,N/A,N/A,N/A,N/A
1009,9,Phase 6: GAT (No Gating),26.685,7.315,101,-830.3,N/A,N/A,N/A,N/A,N/A
1010,10,Phase 6: GAT (No Gating),25.7875,7.04,89,-801.3499999999999,N/A,N/A,N/A,N/A,N/A
1001,1,Phase 7: GAT + Comm Gate,36.6975,8.75,112,-1087.95,8.000000000000005,-1095.95,800,800,1.0
1002,2,Phase 7: GAT + Comm Gate,24.17,6.4125,119,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0
1003,3,Phase 7: GAT + Comm Gate,34.995,9.77,105,-1094.7,8.000000000000005,-1102.7,800,800,1.0
1004,4,Phase 7: GAT + Comm Gate,27.05,7.6025,103,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0
1005,5,Phase 7: GAT + Comm Gate,27.735,7.6775,113,-865.8,8.000000000000005,-873.8,800,800,1.0
1006,6,Phase 7: GAT + Comm Gate,29.1825,8.13,105,-912.85,8.000000000000005,-920.85,800,800,1.0
1007,7,Phase 7: GAT + Comm Gate,26.905,7.4375,108,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0
1008,8,Phase 7: GAT + Comm Gate,27.7625,7.5875,94,-862.75,8.000000000000005,-870.75,800,800,1.0
1009,9,Phase 7: GAT + Comm Gate,26.685,7.315,101,-830.3,8.000000000000005,-838.3,800,800,1.0
1010,10,Phase 7: GAT + Comm Gate,25.7875,7.04,89,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0
