seed,episode,controller,return_A,return_B,return_C,return_D,agg_return,mean_delay,mean_queue,throughput
1001,1,Phase 5: MAPPO + Transformer,-424.7899999999999,-473.3999999999999,-1065.9400000000007,-457.89999999999986,-2422.0300000000007,95.2975,12.8375,94
1002,2,Phase 5: MAPPO + Transformer,-441.4500000000001,-433.2099999999999,-771.7299999999999,-1010.48,-2656.87,109.1825,11.78,103
1003,3,Phase 5: MAPPO + Transformer,-531.8100000000002,-518.68,-581.0500000000001,-560.7700000000001,-2192.3100000000004,83.4975,12.9975,101
1004,4,Phase 5: MAPPO + Transformer,-518.71,-544.3900000000001,-809.4899999999999,-1031.8399999999997,-2904.43,117.6575,13.7225,97
1005,5,Phase 5: MAPPO + Transformer,-461.03000000000003,-421.11,-409.43,-1311.79,-2603.36,105.69,12.185,105
1006,6,Phase 5: MAPPO + Transformer,-393.21000000000015,-436.6400000000001,-847.2900000000002,-644.0400000000002,-2321.1800000000007,92.28,11.83,111
1007,7,Phase 5: MAPPO + Transformer,-451.03000000000014,-463.1600000000002,-386.09000000000003,-704.2300000000004,-2004.5100000000007,78.3625,10.875,99
1008,8,Phase 5: MAPPO + Transformer,-397.57,-472.45000000000005,-522.36,-733.0200000000001,-2125.4,83.95,11.1025,103
1009,9,Phase 5: MAPPO + Transformer,-427.4200000000002,-379.9900000000001,-510.45,-977.9900000000001,-2295.8500000000004,91.5975,11.54,97
1010,10,Phase 5: MAPPO + Transformer,-431.27000000000015,-557.16,-376.81000000000006,-765.8900000000001,-2131.13,84.3775,11.0325,88
1001,1,Phase 6: MAPPO + Transformer + GAT,-216.24999999999997,-256.74999999999994,-279.80000000000007,-335.15,-1087.95,36.6975,8.75,112
1002,2,Phase 6: MAPPO + Transformer + GAT,-195.80000000000004,-201.85000000000005,-174.4,-171.85000000000005,-743.9000000000001,24.17,6.4125,119
1003,3,Phase 6: MAPPO + Transformer + GAT,-305.8500000000001,-291.59999999999997,-257.15,-240.09999999999997,-1094.7,34.995,9.77,105
1004,4,Phase 6: MAPPO + Transformer + GAT,-252.64999999999998,-217.25000000000003,-169.64999999999998,-209.54999999999995,-849.0999999999999,27.05,7.6025,103
1005,5,Phase 6: MAPPO + Transformer + GAT,-181.35000000000002,-167.3,-225.39999999999992,-291.75,-865.8,27.735,7.6775,113
1006,6,Phase 6: MAPPO + Transformer + GAT,-242.55000000000004,-252.95000000000007,-208.6,-208.74999999999994,-912.85,29.1825,8.13,105
1007,7,Phase 6: MAPPO + Transformer + GAT,-212.54999999999995,-184.45000000000002,-211.14999999999995,-231.44999999999996,-839.5999999999999,26.905,7.4375,108
1008,8,Phase 6: MAPPO + Transformer + GAT,-228.70000000000005,-219.74999999999991,-229.40000000000003,-184.89999999999995,-862.75,27.7625,7.5875,94
1009,9,Phase 6: MAPPO + Transformer + GAT,-210.25,-238.54999999999998,-141.99999999999997,-239.49999999999994,-830.3,26.685,7.315,101
1010,10,Phase 6: MAPPO + Transformer + GAT,-186.3,-242.6,-232.4499999999999,-140.0,-801.3499999999999,25.7875,7.04,89
