seed,episode,controller,mean_delay,mean_queue,throughput,task_return,comm_cost,adjusted_return,possible_comm,actual_comm,comm_ratio,mean_C_ij,mean_gate
1001,1,Phase 4: Frozen MAPPO,36.6975,8.75,112,-1087.95,0.0,-1087.95,800,0,0.0,N/A,N/A
1002,2,Phase 4: Frozen MAPPO,24.17,6.4125,119,-743.9000000000001,0.0,-743.9000000000001,800,0,0.0,N/A,N/A
1003,3,Phase 4: Frozen MAPPO,34.995,9.77,105,-1094.7,0.0,-1094.7,800,0,0.0,N/A,N/A
1004,4,Phase 4: Frozen MAPPO,27.05,7.6025,103,-849.0999999999999,0.0,-849.0999999999999,800,0,0.0,N/A,N/A
1005,5,Phase 4: Frozen MAPPO,27.735,7.6775,113,-865.8,0.0,-865.8,800,0,0.0,N/A,N/A
1006,6,Phase 4: Frozen MAPPO,29.1825,8.13,105,-912.85,0.0,-912.85,800,0,0.0,N/A,N/A
1007,7,Phase 4: Frozen MAPPO,26.905,7.4375,108,-839.5999999999999,0.0,-839.5999999999999,800,0,0.0,N/A,N/A
1008,8,Phase 4: Frozen MAPPO,27.7625,7.5875,94,-862.75,0.0,-862.75,800,0,0.0,N/A,N/A
1009,9,Phase 4: Frozen MAPPO,26.685,7.315,101,-830.3,0.0,-830.3,800,0,0.0,N/A,N/A
1010,10,Phase 4: Frozen MAPPO,25.7875,7.04,89,-801.3499999999999,0.0,-801.3499999999999,800,0,0.0,N/A,N/A
1001,1,Phase 6: Frozen GAT,36.6975,8.75,112,-1087.95,8.000000000000005,-1095.95,800,800,1.0,N/A,1.0000
1002,2,Phase 6: Frozen GAT,24.17,6.4125,119,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0,N/A,1.0000
1003,3,Phase 6: Frozen GAT,34.995,9.77,105,-1094.7,8.000000000000005,-1102.7,800,800,1.0,N/A,1.0000
1004,4,Phase 6: Frozen GAT,27.05,7.6025,103,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0,N/A,1.0000
1005,5,Phase 6: Frozen GAT,27.735,7.6775,113,-865.8,8.000000000000005,-873.8,800,800,1.0,N/A,1.0000
1006,6,Phase 6: Frozen GAT,29.1825,8.13,105,-912.85,8.000000000000005,-920.85,800,800,1.0,N/A,1.0000
1007,7,Phase 6: Frozen GAT,26.905,7.4375,108,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0,N/A,1.0000
1008,8,Phase 6: Frozen GAT,27.7625,7.5875,94,-862.75,8.000000000000005,-870.75,800,800,1.0,N/A,1.0000
1009,9,Phase 6: Frozen GAT,26.685,7.315,101,-830.3,8.000000000000005,-838.3,800,800,1.0,N/A,1.0000
1010,10,Phase 6: Frozen GAT,25.7875,7.04,89,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0,N/A,1.0000
1001,1,Phase 7: Frozen Comm Gate,36.6975,8.75,112,-1087.95,8.000000000000005,-1095.95,800,800,1.0,N/A,0.5955
1002,2,Phase 7: Frozen Comm Gate,24.17,6.4125,119,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0,N/A,0.5981
1003,3,Phase 7: Frozen Comm Gate,34.995,9.77,105,-1094.7,8.000000000000005,-1102.7,800,800,1.0,N/A,0.5977
1004,4,Phase 7: Frozen Comm Gate,27.05,7.6025,103,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0,N/A,0.5972
1005,5,Phase 7: Frozen Comm Gate,27.735,7.6775,113,-865.8,8.000000000000005,-873.8,800,800,1.0,N/A,0.6118
1006,6,Phase 7: Frozen Comm Gate,29.1825,8.13,105,-912.85,8.000000000000005,-920.85,800,800,1.0,N/A,0.6016
1007,7,Phase 7: Frozen Comm Gate,26.905,7.4375,108,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0,N/A,0.6028
1008,8,Phase 7: Frozen Comm Gate,27.7625,7.5875,94,-862.75,8.000000000000005,-870.75,800,800,1.0,N/A,0.6013
1009,9,Phase 7: Frozen Comm Gate,26.685,7.315,101,-830.3,8.000000000000005,-838.3,800,800,1.0,N/A,0.5971
1010,10,Phase 7: Frozen Comm Gate,25.7875,7.04,89,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0,N/A,0.5986
1001,1,Phase 8: Original Causal Gate,36.6975,8.75,112,-1087.95,8.000000000000005,-1095.95,800,800,1.0,0.5849,0.7422
1002,2,Phase 8: Original Causal Gate,24.17,6.4125,119,-743.9000000000001,8.000000000000005,-751.9000000000001,800,800,1.0,0.5784,0.7404
1003,3,Phase 8: Original Causal Gate,34.995,9.77,105,-1094.7,8.000000000000005,-1102.7,800,800,1.0,0.6125,0.7378
1004,4,Phase 8: Original Causal Gate,27.05,7.6025,103,-849.0999999999999,8.000000000000005,-857.0999999999999,800,800,1.0,0.5939,0.7420
1005,5,Phase 8: Original Causal Gate,27.735,7.6775,113,-865.8,8.000000000000005,-873.8,800,800,1.0,0.5952,0.7394
1006,6,Phase 8: Original Causal Gate,29.1825,8.13,105,-912.85,8.000000000000005,-920.85,800,800,1.0,0.5830,0.7422
1007,7,Phase 8: Original Causal Gate,26.905,7.4375,108,-839.5999999999999,8.000000000000005,-847.5999999999999,800,800,1.0,0.5885,0.7381
1008,8,Phase 8: Original Causal Gate,27.7625,7.5875,94,-862.75,8.000000000000005,-870.75,800,800,1.0,0.5975,0.7402
1009,9,Phase 8: Original Causal Gate,26.685,7.315,101,-830.3,8.000000000000005,-838.3,800,800,1.0,0.5838,0.7421
1010,10,Phase 8: Original Causal Gate,25.7875,7.04,89,-801.3499999999999,8.000000000000005,-809.3499999999999,800,800,1.0,0.5684,0.7403
1001,1,Phase 8R: Improved Causal Comm,36.6975,8.75,112,-1087.95,0.0,-1087.95,800,0,0.0,0.5849,0.0001
1002,2,Phase 8R: Improved Causal Comm,24.17,6.4125,119,-743.9000000000001,0.0,-743.9000000000001,800,0,0.0,0.5784,0.0001
1003,3,Phase 8R: Improved Causal Comm,34.995,9.77,105,-1094.7,0.0,-1094.7,800,0,0.0,0.6125,0.0001
1004,4,Phase 8R: Improved Causal Comm,27.05,7.6025,103,-849.0999999999999,0.0,-849.0999999999999,800,0,0.0,0.5939,0.0001
1005,5,Phase 8R: Improved Causal Comm,27.735,7.6775,113,-865.8,0.0,-865.8,800,0,0.0,0.5952,0.0001
1006,6,Phase 8R: Improved Causal Comm,29.1825,8.13,105,-912.85,0.0,-912.85,800,0,0.0,0.5830,0.0001
1007,7,Phase 8R: Improved Causal Comm,26.905,7.4375,108,-839.5999999999999,0.0,-839.5999999999999,800,0,0.0,0.5885,0.0001
1008,8,Phase 8R: Improved Causal Comm,27.7625,7.5875,94,-862.75,0.0,-862.75,800,0,0.0,0.5975,0.0001
1009,9,Phase 8R: Improved Causal Comm,26.685,7.315,101,-830.3,0.0,-830.3,800,0,0.0,0.5838,0.0001
1010,10,Phase 8R: Improved Causal Comm,25.7875,7.04,89,-801.3499999999999,0.0,-801.3499999999999,800,0,0.0,0.5684,0.0001
