seed,controller,return_A,return_B,return_C,return_D,agg_return,mean_queue,mean_waiting,throughput
1001,MAPPO (Frozen Baseline),-216.25,-256.75,-279.80,-335.15,-1087.95,8.75,36.70,112
1002,MAPPO (Frozen Baseline),-195.80,-201.85,-174.40,-171.85,-743.90,6.41,24.17,119
1003,MAPPO (Frozen Baseline),-305.85,-291.60,-257.15,-240.10,-1094.70,9.77,34.99,105
1004,MAPPO (Frozen Baseline),-252.65,-217.25,-169.65,-209.55,-849.10,7.60,27.05,103
1005,MAPPO (Frozen Baseline),-181.35,-167.30,-225.40,-291.75,-865.80,7.68,27.73,113
1006,MAPPO (Frozen Baseline),-242.55,-252.95,-208.60,-208.75,-912.85,8.13,29.18,105
1007,MAPPO (Frozen Baseline),-212.55,-184.45,-211.15,-231.45,-839.60,7.44,26.91,108
1008,MAPPO (Frozen Baseline),-228.70,-219.75,-229.40,-184.90,-862.75,7.59,27.76,94
1009,MAPPO (Frozen Baseline),-210.25,-238.55,-142.00,-239.50,-830.30,7.32,26.68,101
1010,MAPPO (Frozen Baseline),-186.30,-242.60,-232.45,-140.00,-801.35,7.04,25.79,89
1001,MAPPO + Transformer,-424.79,-473.40,-1065.94,-457.90,-2422.03,12.84,95.30,94
1002,MAPPO + Transformer,-441.45,-433.21,-771.73,-1010.48,-2656.87,11.78,109.18,103
1003,MAPPO + Transformer,-531.81,-518.68,-581.05,-560.77,-2192.31,13.00,83.50,101
1004,MAPPO + Transformer,-518.71,-544.39,-809.49,-1031.84,-2904.43,13.72,117.66,97
1005,MAPPO + Transformer,-461.03,-421.11,-409.43,-1311.79,-2603.36,12.19,105.69,105
1006,MAPPO + Transformer,-393.21,-436.64,-847.29,-644.04,-2321.18,11.83,92.28,111
1007,MAPPO + Transformer,-451.03,-463.16,-386.09,-704.23,-2004.51,10.88,78.36,99
1008,MAPPO + Transformer,-397.57,-472.45,-522.36,-733.02,-2125.40,11.10,83.95,103
1009,MAPPO + Transformer,-427.42,-379.99,-510.45,-977.99,-2295.85,11.54,91.60,97
1010,MAPPO + Transformer,-431.27,-557.16,-376.81,-765.89,-2131.13,11.03,84.38,88
