seed,decision_step,simulation_time_s,source,target,head,attention_weight,aggregated_attention_weight,is_self_loop
1001,50,250,A,A,0,0.331929,0.330881,True
1001,50,250,B,A,0,0.318427,0.333979,False
1001,50,250,C,A,0,0.349644,0.335140,False
1001,50,250,A,B,0,0.338111,0.332515,False
1001,50,250,B,B,0,0.324357,0.335589,True
1001,50,250,D,B,0,0.337532,0.331896,False
1001,50,250,A,C,0,0.327691,0.332121,False
1001,50,250,C,C,0,0.345179,0.336368,True
1001,50,250,D,C,0,0.327130,0.331511,False
1001,50,250,B,D,0,0.318608,0.334179,False
1001,50,250,C,D,0,0.349843,0.335349,False
1001,50,250,D,D,0,0.331550,0.330472,True
1001,50,250,A,A,1,0.336010,0.330881,True
1001,50,250,B,A,1,0.331458,0.333979,False
1001,50,250,C,A,1,0.332532,0.335140,False
1001,50,250,A,B,1,0.336301,0.332515,False
1001,50,250,B,B,1,0.331745,0.335589,True
1001,50,250,D,B,1,0.331954,0.331896,False
1001,50,250,A,C,1,0.335940,0.332121,False
1001,50,250,C,C,1,0.332462,0.336368,True
1001,50,250,D,C,1,0.331598,0.331511,False
1001,50,250,B,D,1,0.332904,0.334179,False
1001,50,250,C,D,1,0.333982,0.335349,False
1001,50,250,D,D,1,0.333114,0.330472,True
1001,50,250,A,A,2,0.322691,0.330881,True
1001,50,250,B,A,2,0.347537,0.333979,False
1001,50,250,C,A,2,0.329772,0.335140,False
1001,50,250,A,B,2,0.325390,0.332515,False
1001,50,250,B,B,2,0.350444,0.335589,True
1001,50,250,D,B,2,0.324166,0.331896,False
1001,50,250,A,C,2,0.331325,0.332121,False
1001,50,250,C,C,2,0.338596,0.336368,True
1001,50,250,D,C,2,0.330079,0.331511,False
1001,50,250,B,D,2,0.347960,0.334179,False
1001,50,250,C,D,2,0.330173,0.335349,False
1001,50,250,D,D,2,0.321867,0.330472,True
1001,50,250,A,A,3,0.332895,0.330881,True
1001,50,250,B,A,3,0.338494,0.333979,False
1001,50,250,C,A,3,0.328611,0.335140,False
1001,50,250,A,B,3,0.330258,0.332515,False
1001,50,250,B,B,3,0.335812,0.335589,True
1001,50,250,D,B,3,0.333931,0.331896,False
1001,50,250,A,C,3,0.333527,0.332121,False
1001,50,250,C,C,3,0.329236,0.336368,True
1001,50,250,D,C,3,0.337237,0.331511,False
1001,50,250,B,D,3,0.337245,0.334179,False
1001,50,250,C,D,3,0.327399,0.335349,False
1001,50,250,D,D,3,0.335356,0.330472,True
