episode,seed,possible_communications,actual_communications,communication_ratio,total_communication_cost,task_return,communication_adjusted_return,delay,queue,throughput,mean_C_ij,min_C_ij,max_C_ij,mean_gate,policy_loss,value_loss,entropy,approx_kl
1,43,800,18,0.0225,2.4512780396640306,-4404.239999999999,-4406.691278039663,185.69,17.2175,65,0.6256287531888921,0.0375,0.8821204864311132,0.30640975495800377,-0.085479682427831,264244.0322265625,1.3862554728984833,4.523366806097329e-05
2,44,800,18,0.0225,2.2860383662581443,-3759.6300000000006,-3761.916038366259,159.2175,14.34,64,0.6182131776984017,0.03125,0.9118004662674907,0.28575479578226803,0.050852428132202476,190691.72265625,1.38603176176548,5.1333801820874214e-05
3,45,800,1,0.00125,1.9144046877324583,-3510.9,-3512.8144046877323,145.63,14.9125,58,0.5934010560151465,0.025,0.8480357605534717,0.23930058596655726,-0.05944518247270025,181701.67578125,1.3855377957224846,5.556418909691274e-05
4,46,800,3,0.00375,1.7944530929625035,-4679.030000000001,-4680.824453092963,197.8875,17.9875,63,0.6021854804488277,0.03125,0.8691625270911684,0.22430663662031292,-0.09123986237682402,366205.837890625,1.384512148797512,0.00019662818522192538
5,47,800,5,0.00625,2.0625130718946463,-3569.620000000001,-3571.6825130718953,148.415,14.9875,58,0.5916984165114418,0.00625,0.8561184290713146,0.25781413398683073,-0.055757368565537035,195620.7958984375,1.381650149822235,9.458966087549925e-05
6,48,800,21,0.02625,2.3072023405134674,-3939.4800000000005,-3941.787202340514,166.96,14.96,60,0.607084873223806,0.03125,0.9184760457146973,0.2884002925641835,0.028772858786396682,223220.1337890625,1.383514016866684,0.0007991908641997725
7,49,800,217,0.27125,3.4600255495309833,-3240.26,-3243.7200255495313,132.92,14.4975,59,0.6090483703577962,0.03125,0.8595137002749111,0.43250319369137286,0.061449345434084535,147203.66455078125,1.3826713263988495,0.000915827346034348
8,50,800,630,0.7875,4.547546677291393,-3222.93,-3227.4775466772912,131.8875,14.5775,62,0.6079682628019639,0.01875,0.878858654431916,0.5684433346614242,-0.031063136644661427,147185.5185546875,1.3781361654400826,0.00021429179469123483
9,51,800,757,0.94625,5.194535802602769,-2747.8199999999997,-2753.0145358026025,111.91,12.6875,51,0.6063274781629616,0.0125,0.8603020863982063,0.649316975325346,0.00656638341024518,105119.92431640625,1.3726309314370155,0.0014616738189943135
10,52,800,800,1.0,5.747550492882729,-3062.19,-3067.9375504928826,124.6825,14.16,59,0.600989210633613,0.0125,0.8517344959343682,0.7184438116103411,-0.012371947057545185,127992.6474609375,1.3547729477286339,0.004659147380152717
11,53,800,800,1.0,5.9945106357336035,-2909.8299999999995,-2915.824510635733,117.9875,13.6975,64,0.5954721048771177,0.0375,0.9282061996449528,0.7493138294667006,0.042409518733620644,116192.2841796875,1.329488143324852,0.001789394416846335
12,54,800,800,1.0,5.945836079120637,-2628.36,-2634.3058360791206,106.395,12.4575,61,0.5968061711254913,0.01875,0.8446278494715133,0.7432295098900795,0.02062272175680846,95788.37744140625,1.3110214993357658,0.0006951249961275607
13,55,800,800,1.0,5.962706897258758,-2253.6900000000005,-2259.652706897259,89.6625,11.455,56,0.5831541592549022,0.01875,0.8340105972753591,0.7453383621573448,0.03596050478518009,66851.75537109375,1.30746391415596,0.0001636788947507739
