episode,seed,possible_communications,actual_communications,communication_ratio,total_communication_cost,task_return,communication_adjusted_return,delay,queue,throughput,mean_C_ij,min_C_ij,max_C_ij,mean_gate,min_gate,max_gate,c_gate_corr,policy_loss,value_loss,entropy,comm_budget_loss,causal_grad_norm
1,43,800,0,0.0,0.7992703983746469,-3905.55,-3906.3492703983748,163.8075,15.6875,58,0.6074182144504414,0.0375,0.8801572764102767,0.09990879979683086,0.028021685779094696,0.28488317131996155,-0.3403540103895768,-0.029518443159759045,205942.96875,1.3861718103289604,0.00021964945096897281,0.00028523613491415745
2,44,800,0,0.0,0.018068444393575196,-4157.6,-4157.618068444394,177.175,15.3075,65,0.6036475317033048,0.03125,0.9458992564946631,0.002258555549196899,0.0006123257917352021,0.008424955420196056,0.06878186402713435,-0.002209120662882924,243011.3779296875,1.3844228088855743,1.270074335479876e-05,2.3736965147236333e-05
3,45,800,0,0.0,0.005959903806215152,-3493.51,-3493.5159599038066,145.0575,14.7625,58,0.5745486385315202,0.01875,0.8839660607812956,0.000744987975776894,0.00028545071836560965,0.0030050601344555616,0.10751359661153695,0.0010019064648076892,171840.455078125,1.3806982710957527,6.612575816689059e-06,8.00038790060853e-06
4,46,800,0,0.0,0.0056053875753423205,-4185.450000000001,-4185.455605387576,175.1475,17.015,66,0.5908603314776955,0.03125,0.8851580953801803,0.00070067344691779,0.0002701969351619482,0.003158597042784095,0.03359751340801615,0.07526125013828278,245462.8564453125,1.3781780749559402,7.473361847587512e-06,1.2731992569570139e-05
5,47,800,0,0.0,0.006149271348549519,-3236.7300000000005,-3236.736149271349,134.4475,13.6425,55,0.5923024009560155,0.00625,0.8819989395743172,0.0007686589185686898,0.00021666899556294084,0.003864395199343562,0.1293483975074971,0.00761612702626735,138127.84033203125,1.375987820327282,8.94996099987111e-06,2.7557636144592834e-05
6,48,800,0,0.0,0.006652557420457015,-3304.13,-3304.1366525574203,136.8625,14.125,56,0.60138533105399,0.03125,0.894706574617378,0.0008315696775571268,0.00018126869690604508,0.0056104036048054695,0.11936531509627206,-0.029619849869050086,154680.9521484375,1.3770769611001015,1.0844036864909867e-05,2.4791309272131912e-05
7,49,800,0,0.0,0.013066984546603632,-3117.590000000001,-3117.6030669845477,127.1525,14.3125,61,0.6012078327496373,0.03125,0.8657028685817089,0.0016333730683254543,0.0003258124052081257,0.006542850285768509,-0.03608283912558226,0.09198573301546276,126304.796875,1.373673103749752,9.612267945158237e-06,2.718699840897898e-05
8,50,800,0,0.0,0.003538485104218125,-3288.2500000000005,-3288.253538485105,136.8675,13.725,58,0.6017081345225402,0.01875,0.9074465841709984,0.0004423106380272657,0.00013346569903660566,0.0026896477211266756,-0.20741175789329333,0.028168639400973916,159718.71435546875,1.344945341348648,3.3578210292262156e-06,1.2479280016464145e-05
9,51,800,0,0.0,0.002438460848206887,-2238.01,-2238.0124384608484,89.0075,11.3875,47,0.5833171838057751,0.0125,0.8760090360653282,0.0003048076060258609,0.0001284142053918913,0.0014199810102581978,-0.00797520811947597,-0.06546195119153708,72620.66088867188,1.313227191567421,2.8511958731769482e-06,8.756198404569204e-06
10,52,800,0,0.0,0.001996981929332833,-2992.11,-2992.1119969819297,119.6975,14.895,64,0.6031518372010289,0.0125,0.8975165953960839,0.0002496227411666041,0.00011335505405440927,0.0007961911032907665,0.01980112635604098,0.0036663039354607463,127829.037109375,1.2823863476514816,2.3685048660126995e-06,7.228104408341096e-06
11,53,800,0,0.0,0.0018450702659902163,-2406.05,-2406.051845070266,94.0225,13.0775,66,0.599375846005809,0.0375,0.8925982934564289,0.00023063378324877703,0.00011068767344113439,0.0005716953310184181,0.16227244644133212,-0.003115857020020485,76319.63513183594,1.2533506006002426,2.0359353598564667e-06,7.182600114674642e-06
12,54,800,0,0.0,0.0014599545809323897,-2260.83,-2260.831459954581,88.2925,12.3125,60,0.5958014326646581,0.01875,0.8381785883481102,0.00018249432261654874,8.029018499655649e-05,0.0006784212891943753,0.1468547655686166,0.015929757268168032,67921.8193359375,1.2249322012066841,1.7885314704813027e-06,2.8109322158798022e-06
13,55,800,0,0.0,0.0014252280230721227,-2085.28,-2085.281425228023,82.075,11.03,55,0.5776983843575746,0.01875,0.8248428095695337,0.00017815350288401531,7.806866051396355e-05,0.0004602997505571693,0.10486666217658067,-0.057813869090750813,59843.73681640625,1.216271996498108,2.020971308525077e-06,5.876895293965845e-06
14,56,800,0,0.0,0.0018235405049199472,-1921.9300000000003,-1921.9318235405053,75.9925,9.9875,52,0.5759427211565032,0.03125,0.8528048960110213,0.0002279425631149934,9.226931433659047e-05,0.0006778014358133078,0.05489698277288323,-0.014308412210084498,52154.891845703125,1.1767796203494072,1.8069966714051588e-06,9.465262209573666e-06
15,57,800,0,0.0,0.001000953543407377,-2001.1900000000003,-2001.1910009535436,77.8525,11.035,56,0.5815745111136396,0.03125,0.8462653724479702,0.0001251191929259221,6.175116141093895e-05,0.0004151479515712708,0.08201444780599396,-0.019105606363154948,58285.953125,1.027149572968483,1.1859761031018934e-06,3.028142383953991e-06
16,58,800,0,0.0,0.0009364042564993724,-1181.4299999999998,-1181.4309364042563,42.5425,8.1825,47,0.5686613617258609,0.0375,0.8182787186107339,0.00011705053206242156,5.74120094825048e-05,0.00024732694146223366,0.20774010359179954,-0.03360039717517793,17034.09588623047,0.8828486427664757,1.1590516422188557e-06,2.623983055727308e-06
17,59,800,0,0.0,0.0009048403464839794,-1025.4299999999998,-1025.4309048403463,35.9175,7.5925,50,0.5594074905819386,0.01875,0.7848983971666612,0.00011310504331049742,4.613509008777328e-05,0.00024146381474565715,0.11076422381260263,-0.028664798475801945,13402.95361328125,0.8366278558969498,1.1276787219571816e-06,2.1849130877882317e-06
18,60,800,0,0.0,0.0008719616833332112,-1486.2499999999995,-1486.2508719616828,52.2275,10.9575,63,0.594038948293176,0.0375,0.8447362824998836,0.00010899521041665138,5.609133222606033e-05,0.00020048087753821164,0.04674138213606777,-0.012738655088469386,29988.814086914062,0.8531765453517437,1.0757031887465018e-06,1.8156153691606391e-06
19,61,800,0,0.0,0.0008705154538256466,-1349.6399999999999,-1349.6408705154538,48.645,9.335,55,0.575910144779333,0.03125,0.8585877047346464,0.00010881443172820582,4.716406692750752e-05,0.00024046143516898155,0.10339614697444054,0.03363734181039035,24569.6650390625,0.8760692737996578,1.1227577942918288e-06,2.1646712760059472e-06
20,62,800,0,0.0,0.0009477527802664557,-1441.0099999999998,-1441.01094775278,52.0725,9.9075,54,0.5737530384213945,0.01875,0.8011662344065987,0.00011846909753330692,4.374917989480309e-05,0.00027379815583117306,0.03870334322772675,0.10711449896916747,29438.941772460938,0.9348125457763672,1.25082547697275e-06,2.2347003678646615e-06
21,63,800,0,0.0,0.0009617533133859981,-1533.08,-1533.0809617533132,54.985,10.7525,57,0.5794913456790074,0.03125,0.8580825278283137,0.00012021916417324974,4.928004273097031e-05,0.00026507204165682197,-0.001920972012340943,-0.07500361581332982,32077.473022460938,0.9543874002993107,1.2009852525807219e-06,2.4119325239269074e-06
22,64,800,0,0.0,0.0010235371769158521,-1436.94,-1436.941023537177,53.785,8.9525,52,0.5665560346612858,0.025,0.8002779838032884,0.0001279421471144815,5.3819978347746655e-05,0.0004858421452809125,0.14407820163685822,0.009115675638895482,28251.826293945312,0.96033725887537,1.2503639652550191e-06,4.012854362578366e-06
23,65,800,0,0.0,0.0009554199352714932,-1701.4700000000003,-1701.4709554199355,62.3375,11.29,53,0.5709491771036832,0.01875,0.7988268592559246,0.00011942749190893665,4.975893170922063e-05,0.0005190829397179186,-0.0014814225897722853,-0.07245463749859482,37774.74792480469,0.9062093496322632,1.0852884528844697e-06,2.762672000500288e-06
24,66,800,0,0.0,0.0007540884403715607,-1358.2200000000003,-1358.2207540884406,49.345,9.2,48,0.5884421756864507,0.025,0.8031250478503229,9.42610550464451e-05,4.3078744056401774e-05,0.00020087829034309834,0.18732816814336237,0.004293870646506548,25411.420166015625,0.831224612891674,8.962890589714334e-07,1.4960558196719376e-06
25,67,800,0,0.0,0.000717042253636464,-1184.0,-1184.0007170422537,41.465,8.785,58,0.5569400893740692,0.0375,0.7851135116256126,8.9630281704558e-05,4.0803541196510196e-05,0.00020339711045380682,0.0224280998045935,-0.008721018326468766,19766.403686523438,0.8628606125712395,9.299107119886685e-07,1.5648193549822054e-06
26,68,800,0,0.0,0.0008090534900475177,-1784.9700000000003,-1784.9708090534903,66.7025,11.195,59,0.5903423830024361,0.03125,0.8517097111476555,0.00010113168625593971,4.147766958340071e-05,0.00032949147862382233,0.11617206113653755,-0.0983786650467664,40978.81555175781,0.9275312274694443,1.0201153770594829e-06,2.0999954557510137e-06
