episode,seed,possible_communications,actual_communications,communication_ratio,total_communication_cost,task_return,communication_adjusted_return,delay,queue,throughput,policy_loss,value_loss,entropy,approx_kl
1,43,800,795,0.9938,5.7707,-4219.66,-4225.43,178.37,16.27,95,-0.0055,252481.0469,1.3862,0.000117
2,44,800,796,0.9950,5.7171,-3452.08,-3457.80,144.85,13.83,113,0.0472,176067.7188,1.3848,0.000495
3,45,800,798,0.9975,5.5520,-3564.91,-3570.46,149.12,14.51,92,0.0004,206326.4395,1.3800,0.000489
4,46,800,800,1.0000,5.5716,-3823.83,-3829.40,158.95,16.07,105,0.0897,201167.2969,1.3742,0.000822
5,47,800,793,0.9912,5.1407,-3648.32,-3653.46,152.04,15.14,97,0.1191,183639.2617,1.3708,0.000447
6,48,800,787,0.9838,5.0444,-3420.43,-3425.47,142.73,14.10,101,-0.0021,167978.8345,1.3764,0.000213
7,49,800,759,0.9487,4.9662,-3667.15,-3672.12,152.55,15.35,98,-0.0872,195782.8623,1.3719,0.001549
8,50,800,726,0.9075,4.7285,-3213.63,-3218.36,132.56,14.01,103,0.0357,153961.5659,1.3385,0.003514
9,51,800,791,0.9888,4.9439,-2559.97,-2564.91,103.43,12.23,108,-0.1165,91377.9673,1.3059,0.001704
10,52,800,800,1.0000,5.0100,-3140.23,-3145.24,127.37,14.76,97,-0.0312,138286.7046,1.2677,0.002116
11,53,800,781,0.9762,4.7998,-2556.85,-2561.65,101.93,12.89,101,-0.1137,100689.7144,1.2002,0.002528
12,54,800,797,0.9962,4.7343,-1886.12,-1890.85,72.72,10.72,83,0.0493,50060.8354,1.1181,0.003511
13,55,800,797,0.9962,4.7890,-1534.97,-1539.76,57.86,9.37,112,-0.0362,32607.3862,1.0083,0.004777
14,56,800,795,0.9938,4.7581,-1294.01,-1298.77,46.40,9.07,94,-0.0321,21281.2034,0.9493,0.000123
15,57,800,790,0.9875,4.6963,-1383.13,-1387.83,50.76,9.12,96,-0.0541,26602.2112,0.9819,0.001407
16,58,800,776,0.9700,4.6230,-1336.17,-1340.79,48.74,8.96,95,-0.0196,23009.2792,0.9994,0.000035
17,59,800,792,0.9900,4.7207,-1114.43,-1119.15,39.99,7.79,105,-0.0720,16101.6221,0.9738,0.000470
18,60,800,791,0.9888,4.6977,-1678.52,-1683.22,61.20,11.29,101,0.0615,37513.9817,0.9235,0.000456
19,61,800,773,0.9663,4.5840,-1399.88,-1404.46,51.19,9.32,96,-0.0142,27391.6633,0.9112,0.000105
20,62,800,787,0.9838,4.6333,-1312.98,-1317.61,46.81,9.34,100,-0.0001,23710.0238,0.8621,0.000665
21,63,800,768,0.9600,4.5538,-1509.73,-1514.28,54.37,10.47,111,-0.0353,29701.5276,0.8097,0.001152
22,64,800,800,1.0000,4.7047,-1178.22,-1182.92,41.20,8.77,88,0.0741,17844.1855,0.7393,0.000703
23,65,800,789,0.9862,4.6494,-1181.67,-1186.32,39.84,9.53,98,0.0111,18356.3191,0.6788,0.001390
24,66,800,793,0.9912,4.6314,-1023.53,-1028.16,34.91,8.04,114,-0.1503,14460.1552,0.6234,0.000119
25,67,800,795,0.9938,4.6825,-1057.70,-1062.38,35.62,8.54,107,-0.0116,15145.0163,0.6581,0.000906
26,68,800,796,0.9950,4.6674,-1450.91,-1455.58,51.41,10.48,101,0.0773,28887.4158,0.6828,0.000461
27,69,800,798,0.9975,4.6665,-1084.47,-1089.14,37.91,8.07,103,-0.1381,16750.7413,0.6090,0.001051
28,70,800,794,0.9925,4.6565,-1109.78,-1114.44,37.48,8.91,108,0.0250,16713.5682,0.5626,0.000351
29,71,800,799,0.9988,4.7480,-1162.98,-1167.73,39.56,9.20,108,-0.0315,18439.7990,0.5182,0.000634
30,72,800,792,0.9900,4.6707,-873.36,-878.03,29.04,7.22,91,-0.0785,10111.0355,0.4487,0.000624
31,73,800,799,0.9988,4.7925,-1003.62,-1008.41,32.55,8.72,118,0.0016,13667.2720,0.4172,0.000034
32,74,800,799,0.9988,4.8062,-1012.48,-1017.29,33.57,8.43,105,-0.0153,14126.0825,0.4445,0.000171
33,75,800,800,1.0000,4.8272,-1101.44,-1106.27,36.52,9.18,125,0.0040,16299.2792,0.4434,0.000178
34,76,800,800,1.0000,4.7877,-1162.05,-1166.84,38.28,9.81,115,0.0154,18295.3824,0.4140,0.000007
35,77,800,799,0.9988,4.7693,-1169.79,-1174.56,38.42,9.94,107,0.0155,18026.8264,0.4365,0.000156
36,78,800,799,0.9988,4.8382,-939.48,-944.32,30.98,7.91,117,-0.0165,12436.6552,0.4498,0.000006
37,79,800,800,1.0000,4.8328,-923.82,-928.65,31.10,7.45,104,-0.0097,11371.7037,0.4395,0.000082
38,80,800,800,1.0000,4.8089,-998.81,-1003.62,33.54,8.11,101,0.0148,12187.7824,0.4353,0.000095
39,81,800,800,1.0000,4.7942,-1072.77,-1077.56,35.77,8.84,111,0.0439,14412.6010,0.4963,0.000522
40,82,800,800,1.0000,4.7762,-1232.41,-1237.19,41.58,9.93,107,-0.0626,20983.5065,0.5188,0.000018
