episode,return_A,return_B,return_C,return_D,aggregate_return,mean_queue,mean_waiting_time,throughput,policy_loss,value_loss,entropy,approx_kl,seed
1,-1076.18,-1342.82,-1265.53,-539.44,-4223.97,16.15,178.81,90,0.0013,233349.8447,1.3860,0.000241,43
2,-852.05,-635.59,-831.27,-591.95,-2910.86,13.13,119.17,110,-0.0088,117980.9883,1.3847,0.000518,44
3,-814.91,-1040.71,-639.11,-454.24,-2948.97,13.08,121.20,94,0.0027,123124.3057,1.3836,0.000349,45
4,-961.87,-531.28,-725.77,-1120.68,-3339.60,14.86,137.15,92,0.0025,157308.4800,1.3846,0.000172,46
5,-743.26,-677.73,-1133.90,-1158.84,-3713.73,14.50,156.60,120,-0.0060,191738.1016,1.3833,0.000301,47
6,-958.28,-711.77,-895.16,-761.81,-3327.02,13.53,139.19,112,-0.0108,156182.3330,1.3759,0.002507,48
7,-539.47,-1202.91,-588.27,-651.62,-2982.27,13.29,122.43,102,-0.0046,122159.5186,1.3641,0.000476,49
8,-885.49,-666.37,-756.44,-625.27,-2933.57,13.49,119.60,94,-0.0014,116179.1748,1.3675,0.000491,50
9,-1030.80,-809.61,-461.87,-657.15,-2959.43,13.15,121.56,98,-0.0140,129392.9106,1.3679,0.001495,51
10,-655.63,-1053.68,-735.86,-834.67,-3279.84,15.38,133.13,113,-0.0046,140467.5820,1.3445,0.002376,52
11,-516.13,-932.33,-796.37,-429.06,-2673.89,12.95,107.67,96,0.0036,108182.9878,1.3096,0.001434,53
12,-878.69,-302.27,-757.24,-337.61,-2275.81,11.64,90.39,92,-0.0058,70773.9258,1.2554,0.005947,54
13,-299.74,-436.99,-604.79,-336.54,-1678.06,9.70,64.36,104,-0.0190,35665.0475,1.1532,0.010015,55
14,-257.78,-350.54,-473.70,-430.04,-1512.06,9.36,56.74,115,-0.0043,33504.1930,1.1118,0.001435,56
15,-274.81,-373.72,-414.60,-479.78,-1542.91,9.74,57.52,113,0.0018,30995.5490,1.1177,0.001682,57
16,-333.79,-419.25,-421.07,-381.69,-1555.80,9.49,58.66,91,-0.0087,30667.4028,1.0299,0.007441,58
17,-384.58,-431.30,-309.44,-329.36,-1454.68,8.60,55.40,79,-0.0058,28061.6672,1.0335,0.001402,59
18,-448.64,-591.39,-530.32,-353.63,-1923.98,11.99,72.06,115,-0.0003,51734.1631,1.0648,0.001795,60
19,-188.37,-341.17,-706.17,-331.35,-1567.06,9.46,59.27,93,0.0050,37556.5796,1.0389,0.001646,61
20,-284.98,-215.91,-603.67,-428.74,-1533.30,9.91,56.69,106,-0.0148,32938.6387,0.9640,0.003690,62
21,-627.18,-413.43,-329.02,-361.34,-1730.97,11.49,63.41,104,-0.0039,41778.1046,0.8828,0.006183,63
22,-285.55,-233.90,-355.45,-305.42,-1180.32,8.87,41.10,85,-0.0040,19332.5604,0.8436,0.000870,64
23,-317.33,-360.58,-285.42,-297.04,-1260.37,9.93,42.97,98,-0.0082,20801.2463,0.7387,0.003722,65
24,-296.31,-286.46,-295.21,-502.67,-1380.65,9.62,49.63,105,-0.0085,24503.3011,0.7873,0.003807,66
25,-329.70,-337.02,-354.90,-257.53,-1279.15,9.23,45.32,106,-0.0084,24326.1332,0.7179,0.003989,67
26,-355.93,-476.35,-400.02,-240.58,-1472.88,10.76,51.95,116,-0.0092,29647.6044,0.6322,0.003870,68
27,-167.41,-212.64,-338.90,-269.54,-988.49,7.88,33.48,101,-0.0087,14147.0861,0.5926,0.000974,69
28,-282.15,-261.80,-342.88,-276.48,-1163.31,8.93,40.13,86,-0.0026,18227.8797,0.5750,0.000266,70
29,-255.99,-319.09,-268.52,-332.52,-1176.12,9.28,40.07,114,-0.0136,19864.7055,0.5236,0.001439,71
30,-220.06,-213.91,-232.92,-191.95,-858.84,7.00,28.75,94,-0.0010,9409.0056,0.4941,0.000816,72
31,-257.77,-270.14,-357.94,-291.52,-1177.37,9.25,40.19,118,-0.0087,19041.1161,0.5163,0.000863,73
32,-207.61,-398.02,-348.02,-238.11,-1191.76,9.60,40.20,106,0.0035,19351.3010,0.5882,0.001233,74
33,-252.14,-291.43,-429.16,-314.50,-1287.23,10.03,44.11,97,-0.0047,23001.8163,0.6294,0.000878,75
34,-225.28,-409.72,-502.95,-270.26,-1408.21,10.25,49.73,121,-0.0110,27509.1470,0.5747,0.003538,76
35,-321.28,-357.49,-333.83,-362.55,-1375.15,10.90,46.76,96,-0.0036,23940.5183,0.6080,0.001051,77
36,-236.90,-229.92,-210.87,-224.17,-901.86,7.29,30.33,106,-0.0058,10869.3807,0.5226,0.000678,78
37,-173.06,-245.69,-390.81,-225.42,-1034.98,7.79,35.98,73,0.0003,13567.2927,0.5150,0.001039,79
38,-187.82,-283.17,-282.92,-197.42,-951.33,7.66,32.07,94,0.0055,11297.5985,0.5056,0.000291,80
39,-238.53,-276.57,-368.75,-249.24,-1133.09,9.08,38.30,101,-0.0078,15828.4470,0.5249,0.001009,81
40,-285.71,-318.44,-433.19,-276.98,-1314.32,10.04,45.45,120,-0.0173,23230.4340,0.5704,0.001349,82
