episode,seed,aggregate_return,mean_delay,mean_queue,throughput,policy_loss,value_loss,entropy,approx_kl,return_A,return_B,return_C,return_D
1,43,-4320.60,183.38,16.28,113,-0.0452,251059.6016,1.3861,0.000153,-911.86,-1321.01,-914.15,-1173.58
2,44,-4089.67,173.04,15.68,85,0.0305,224227.0869,1.3852,0.000170,-919.41,-978.84,-1179.56,-1011.86
3,45,-3815.83,160.81,14.95,90,0.0407,217170.1270,1.3840,0.000415,-816.90,-1377.72,-946.65,-674.56
4,46,-4195.42,175.93,16.88,106,0.0554,257253.1670,1.3821,0.000219,-1511.91,-1051.16,-732.00,-900.35
5,47,-3578.61,150.48,14.18,105,0.0388,172084.4678,1.3839,0.000407,-705.86,-1145.29,-1046.04,-681.42
6,48,-3388.23,141.16,14.08,98,-0.0635,155144.1577,1.3833,0.000167,-1192.87,-510.01,-896.79,-788.56
7,49,-3749.94,156.92,15.24,90,-0.0119,195568.8301,1.3836,0.000229,-849.98,-1317.35,-826.65,-755.96
8,50,-3575.22,150.29,14.19,101,0.0858,187789.5117,1.3858,0.000454,-1041.57,-955.23,-782.98,-795.44
9,51,-3682.29,155.53,14.25,98,0.0325,190361.9717,1.3856,0.000394,-757.76,-820.79,-668.37,-1435.37
10,52,-4229.21,178.28,16.55,98,0.0693,243678.5596,1.3821,0.000844,-1334.60,-971.06,-1118.37,-805.18
11,53,-3724.74,155.35,15.39,95,-0.0385,183350.5068,1.3714,0.001004,-740.27,-920.56,-882.32,-1181.59
12,54,-2849.01,115.50,13.42,83,-0.1201,115473.9497,1.3701,0.000156,-1130.95,-395.94,-908.59,-413.53
13,55,-2981.64,122.92,13.03,108,-0.0278,121214.5405,1.3627,0.001821,-820.24,-839.33,-553.98,-768.09
14,56,-2831.06,115.57,12.94,106,-0.0379,111932.4912,1.3239,0.004615,-753.87,-594.77,-733.14,-749.28
15,57,-1993.75,77.87,10.85,96,0.0400,51540.0591,1.2767,0.001696,-379.61,-540.79,-375.26,-698.09
16,58,-1900.24,73.89,10.49,95,0.0612,46048.5822,1.2473,0.000867,-381.23,-439.58,-549.15,-530.28
17,59,-1903.21,74.57,10.23,85,-0.0084,44373.1477,1.2736,0.003346,-536.85,-510.27,-414.62,-441.47
18,60,-3037.33,122.80,14.47,106,-0.0446,136663.7627,1.2994,0.000989,-607.81,-715.09,-912.86,-801.57
19,61,-2929.95,119.71,13.34,105,-0.0748,122873.9883,1.3162,0.002425,-524.82,-515.24,-1100.38,-789.51
20,62,-2637.74,105.75,13.01,111,0.1215,95631.5460,1.3047,0.000196,-481.06,-450.45,-713.79,-992.44
21,63,-3235.03,132.45,14.59,104,-0.0763,160006.8442,1.2902,0.001432,-1017.38,-853.14,-856.51,-508.00
22,64,-2611.39,106.23,12.11,94,0.0222,95572.1899,1.2637,0.000099,-709.22,-725.28,-456.84,-720.05
23,65,-2876.93,115.51,14.11,99,-0.0064,112863.0620,1.2686,0.001287,-611.69,-657.39,-871.75,-736.10
24,66,-2251.42,90.17,11.14,99,0.0198,67218.1021,1.2630,0.001524,-614.07,-719.18,-478.05,-440.12
25,67,-2336.72,92.81,11.95,111,0.0586,76041.9790,1.2038,0.004556,-529.84,-623.57,-721.09,-462.22
26,68,-2194.85,84.71,12.45,109,0.0719,66243.3928,1.1473,0.002448,-409.72,-627.25,-583.86,-574.02
27,69,-1747.60,66.67,10.28,115,-0.0400,41929.1649,1.1079,0.002039,-263.74,-402.57,-474.26,-607.03
28,70,-1594.42,59.26,10.16,108,-0.0471,34529.3943,1.0345,0.001219,-348.58,-343.16,-335.47,-567.21
29,71,-1701.01,62.65,11.12,110,0.0838,36130.8572,1.0071,0.000680,-404.36,-456.12,-429.57,-410.96
30,72,-1229.66,44.69,8.32,103,-0.0264,19868.4666,0.9564,0.000907,-374.65,-336.53,-330.19,-188.29
31,73,-1444.26,51.47,10.29,100,-0.0264,27382.9200,0.9025,0.000465,-398.55,-285.44,-387.07,-373.20
32,74,-1395.82,49.90,9.86,103,-0.0587,26399.1694,0.8838,0.000881,-322.97,-401.20,-369.74,-301.91
33,75,-1450.51,51.25,10.55,94,-0.0269,27247.0322,0.9048,0.000185,-273.06,-394.11,-419.87,-363.47
34,76,-1539.48,55.67,10.57,114,0.0854,33821.1508,0.8736,0.000651,-397.44,-458.71,-346.62,-336.71
35,77,-1690.10,60.87,11.74,109,0.0407,37596.1333,0.8661,0.000274,-332.23,-576.33,-365.24,-416.30
36,78,-1280.82,46.21,8.84,101,0.0319,20465.3396,0.9233,0.002437,-292.94,-316.05,-419.97,-251.86
37,79,-1455.65,53.58,9.53,90,-0.0165,31166.4395,0.9580,0.001374,-273.20,-426.84,-397.33,-358.28
38,80,-1259.13,44.29,9.25,99,0.0884,19493.6433,0.8546,0.001352,-255.94,-373.05,-353.87,-276.27
39,81,-1250.90,44.27,9.05,115,0.0304,19226.9169,0.7857,0.001050,-230.86,-316.34,-283.01,-420.69
40,82,-1361.45,46.94,10.48,104,-0.0813,24509.7697,0.7228,0.000207,-360.31,-374.95,-375.94,-250.25
