episode,return_A,return_B,return_C,return_D,aggregate_return,mean_queue,mean_waiting_time,throughput,policy_loss,value_loss,entropy,approx_kl,seed
1,-902.70,-1127.82,-737.19,-885.20,-3652.91,14.49,153.57,107,-0.0211,182645.9668,1.3787,0.007734,43
2,-1041.47,-717.20,-879.34,-1036.01,-3674.02,14.64,154.32,97,-0.0017,193939.0586,1.3638,0.002773,44
3,-969.03,-1244.05,-697.67,-567.97,-3478.72,14.11,145.62,87,-0.0097,172351.1875,1.3425,0.003623,45
4,-969.78,-672.23,-1498.16,-604.19,-3744.36,16.27,154.56,93,-0.0071,203670.2617,1.3230,0.005948,46
5,-470.62,-556.08,-620.85,-844.71,-2492.26,13.12,98.25,105,-0.0187,87044.3472,1.3319,0.004704,47
6,-616.59,-512.78,-439.79,-534.09,-2103.25,10.52,84.01,108,-0.0122,55809.9009,1.3337,0.004190,48
7,-661.03,-861.61,-875.14,-855.16,-3252.94,14.42,133.69,96,-0.0100,149849.0737,1.3698,0.008508,49
8,-874.96,-636.47,-1159.18,-745.14,-3415.75,13.47,143.74,103,-0.0131,167256.9604,1.3409,0.007814,50
9,-448.19,-756.02,-493.13,-678.51,-2375.85,11.95,94.78,125,-0.0149,82607.8662,1.3216,0.003287,51
10,-375.82,-964.18,-606.79,-495.85,-2442.64,12.92,96.16,105,-0.0064,80478.1997,1.2964,0.002504,52
11,-403.46,-758.72,-670.19,-676.27,-2508.64,12.80,99.70,95,-0.0167,90465.1980,1.2572,0.008348,53
12,-793.01,-406.81,-514.75,-766.57,-2481.14,12.27,99.40,89,-0.0244,82053.7957,1.3009,0.009157,54
13,-542.97,-471.67,-443.37,-417.66,-1875.67,10.20,73.26,107,-0.0173,49936.1355,1.3108,0.004304,55
14,-368.64,-736.04,-615.85,-490.46,-2210.99,11.20,88.03,96,-0.0064,66291.0745,1.3032,0.007594,56
15,-583.29,-450.07,-466.27,-547.58,-2047.21,10.80,80.63,100,-0.0145,55562.3425,1.2876,0.005325,57
16,-626.24,-797.22,-545.97,-678.62,-2648.05,12.39,107.51,95,-0.0288,100315.4739,1.2989,0.005408,58
17,-512.78,-909.77,-466.02,-506.36,-2394.93,11.12,97.39,95,-0.0082,92296.3284,1.2748,0.004655,59
18,-600.04,-666.23,-822.81,-834.74,-2923.82,14.26,117.56,101,-0.0279,118835.9380,1.2639,0.006383,60
19,-413.58,-495.73,-947.67,-553.88,-2410.86,12.03,96.38,110,-0.0234,80287.9856,1.2452,0.012231,61
20,-632.76,-361.23,-966.54,-773.29,-2733.82,13.50,109.57,96,-0.0244,114445.6885,1.2369,0.009043,62
21,-799.47,-638.77,-607.92,-533.59,-2579.75,12.89,103.08,88,-0.0195,88180.6328,1.2241,0.010822,63
22,-527.28,-582.16,-610.24,-529.74,-2249.42,11.37,89.62,78,-0.0147,69410.3687,1.2123,0.008802,64
23,-603.24,-434.77,-802.86,-858.98,-2699.85,13.78,107.30,86,-0.0226,103430.2136,1.2245,0.007190,65
24,-649.00,-462.46,-640.22,-594.11,-2345.79,11.88,93.42,97,-0.0223,72765.9492,1.2295,0.011389,66
25,-590.45,-440.58,-698.70,-527.61,-2257.34,11.69,89.36,130,-0.0268,81979.3330,1.2342,0.008430,67
26,-663.38,-460.54,-964.20,-497.38,-2585.50,12.93,103.30,108,-0.0227,90094.4351,1.1968,0.009002,68
27,-275.21,-439.39,-492.72,-622.98,-1830.30,10.72,69.94,97,-0.0221,42514.9993,1.2009,0.008901,69
28,-692.18,-655.57,-763.22,-447.90,-2558.87,13.02,101.80,111,-0.0307,89200.3889,1.2055,0.012293,70
29,-435.36,-734.04,-726.55,-706.32,-2602.27,13.12,103.76,98,-0.0207,91887.5132,1.1987,0.009291,71
30,-507.10,-543.23,-536.51,-471.64,-2058.48,10.70,81.42,106,-0.0228,59378.6755,1.2356,0.013175,72
31,-519.38,-469.12,-543.87,-554.79,-2087.16,12.14,79.95,101,-0.0218,60790.5835,1.1924,0.008946,73
32,-591.92,-811.31,-482.15,-305.54,-2190.92,12.15,85.11,101,-0.0372,65447.6594,1.1970,0.014690,74
33,-629.21,-1129.63,-603.86,-536.95,-2899.65,15.06,114.75,82,-0.0256,106714.9548,1.1861,0.016419,75
34,-600.29,-1119.26,-607.85,-498.41,-2825.81,14.68,111.82,71,-0.0348,105823.6689,1.1931,0.011142,76
35,-451.29,-1237.59,-475.82,-577.69,-2742.39,14.31,108.37,105,-0.0407,109803.3879,1.2136,0.016499,77
36,-386.02,-608.28,-538.55,-557.45,-2090.30,11.26,81.89,118,-0.0354,54490.5159,1.2251,0.018099,78
37,-320.21,-536.47,-417.04,-642.15,-1915.87,10.69,74.30,116,-0.0213,44320.4279,1.2124,0.012075,79
38,-509.17,-539.70,-707.46,-411.26,-2167.59,11.68,84.90,86,-0.0300,64125.3555,1.1848,0.013452,80
39,-501.54,-842.92,-542.62,-785.30,-2672.38,13.63,106.25,109,-0.0390,95291.2700,1.1985,0.011741,81
40,-536.92,-667.46,-996.61,-554.01,-2755.00,13.88,109.88,115,-0.0354,111977.0859,1.2154,0.018215,82
