episode,return_A,return_B,return_C,return_D,aggregate_return,mean_queue,mean_waiting_time,throughput,mean_policy_loss,mean_value_loss,mean_entropy,seed
1,-649.87,-853.71,-875.90,-737.62,-3117.10,14.68,126.39,111,0.0064,7901.9429,1.3861,43
2,-954.82,-682.58,-879.61,-912.62,-3429.63,14.71,141.96,96,-0.0116,10203.2274,1.3856,44
3,-963.91,-1395.16,-655.14,-581.66,-3595.87,15.19,149.33,92,0.0270,13593.7751,1.3849,45
4,-1446.51,-641.13,-1231.46,-841.40,-4160.50,17.26,173.41,94,0.0188,17286.3824,1.3837,46
5,-878.56,-625.60,-828.29,-1032.50,-3364.95,14.27,139.62,95,-0.0058,10385.6367,1.3820,47
6,-981.90,-764.13,-1086.48,-753.46,-3585.97,14.54,150.11,96,0.0077,12455.5867,1.3810,48
7,-856.60,-1032.33,-721.21,-836.07,-3446.21,15.02,142.18,91,-0.0020,10762.4449,1.3793,49
8,-1220.65,-514.94,-1038.36,-730.04,-3503.99,14.68,145.73,98,-0.0090,13011.1047,1.3777,50
9,-992.26,-849.44,-862.20,-646.97,-3350.87,13.90,139.65,106,0.0228,10549.2858,1.3758,51
10,-564.16,-527.63,-956.01,-780.65,-2828.45,13.37,114.58,116,0.0092,6901.3522,1.3737,52
11,-727.64,-713.61,-743.75,-458.33,-2643.33,13.20,105.66,97,-0.0227,6419.3463,1.3725,53
12,-1004.35,-859.84,-821.67,-909.15,-3595.01,14.53,150.60,93,-0.0214,11679.2522,1.3687,54
13,-613.71,-603.79,-590.73,-549.16,-2357.39,10.80,96.15,108,0.0299,4947.8210,1.3646,55
14,-677.29,-686.72,-753.35,-609.61,-2726.97,12.31,111.61,94,0.0295,6859.5588,1.3590,56
15,-470.25,-760.33,-549.13,-919.83,-2699.54,11.48,111.92,97,-0.0481,6319.2084,1.3570,57
16,-528.54,-480.41,-794.60,-780.77,-2584.32,11.72,105.67,96,0.0382,6018.9963,1.3540,58
17,-483.84,-456.07,-563.60,-754.02,-2257.53,10.68,91.40,99,0.0220,4780.2513,1.3490,59
18,-887.25,-571.89,-918.81,-1051.97,-3429.92,15.20,140.99,113,0.0839,12045.3203,1.3396,60
19,-459.40,-387.01,-907.08,-736.05,-2489.54,11.83,100.70,106,-0.0082,6278.1482,1.3275,61
20,-585.96,-459.44,-1023.39,-728.95,-2797.74,13.68,112.41,102,-0.0037,7302.7993,1.3138,62
21,-1508.18,-1239.86,-623.81,-586.64,-3958.49,16.11,165.60,91,-0.0525,15704.0516,1.3045,63
22,-603.41,-375.77,-650.11,-522.65,-2151.94,11.65,84.16,87,0.0167,4153.9300,1.2924,64
23,-594.05,-576.28,-511.13,-548.93,-2230.39,12.66,86.06,107,0.0153,4115.5857,1.2772,65
24,-567.42,-362.95,-521.53,-456.12,-1908.02,10.54,74.19,109,-0.0161,3100.5085,1.2580,66
25,-561.14,-303.51,-870.48,-552.46,-2287.59,11.87,90.52,117,-0.0121,5497.9704,1.2350,67
26,-747.23,-522.29,-556.41,-381.15,-2207.08,12.48,85.27,110,0.0216,4480.8663,1.2209,68
27,-290.21,-316.12,-448.71,-490.53,-1545.57,9.68,57.77,99,0.0170,2157.3363,1.1999,69
28,-629.74,-283.70,-402.20,-430.31,-1745.95,10.62,65.92,118,0.0201,2702.8436,1.1797,70
29,-807.27,-364.70,-522.13,-446.14,-2140.24,12.13,82.61,101,-0.0196,4125.8645,1.1709,71
30,-998.68,-342.48,-523.49,-246.15,-2110.80,10.91,83.58,97,0.0030,5074.7216,1.1573,72
31,-808.48,-404.67,-486.38,-364.49,-2064.02,12.00,79.06,103,-0.0308,3925.2235,1.1296,73
32,-785.83,-402.77,-655.86,-548.09,-2392.55,12.49,94.50,104,0.0040,5333.5969,1.1004,74
33,-599.38,-320.03,-488.27,-545.91,-1953.59,12.61,72.30,96,0.0038,3292.5515,1.0578,75
34,-620.28,-401.75,-483.01,-299.22,-1804.26,11.65,66.75,95,-0.0546,2862.0476,1.0286,76
35,-563.63,-343.90,-738.47,-399.37,-2045.37,12.60,76.92,90,0.0334,3958.0985,1.0034,77
36,-534.71,-224.42,-362.01,-310.46,-1431.60,9.35,52.73,99,0.0014,1861.0866,0.9710,78
37,-366.38,-355.84,-433.98,-243.71,-1399.91,9.43,50.98,97,0.0014,1513.4667,0.9428,79
38,-364.44,-318.17,-375.69,-176.82,-1235.12,8.68,44.23,96,-0.0271,1216.1523,0.9282,80
39,-623.80,-304.35,-412.93,-390.30,-1731.38,11.34,63.73,117,0.0502,2467.3788,0.9165,81
40,-738.25,-365.85,-472.00,-245.18,-1821.28,11.37,68.17,106,0.0217,3494.2498,0.8754,82
