step,intersection,queue,waiting_time,C_ij,gate_probability,communication_state,KEEP_probability,SWITCH_probability,EXTEND_probability,REDUCE_probability,selected_action
1,A,0.00,0.00,0.5000,0.0001,OFF,0.0396,0.6744,0.2018,0.0842,SWITCH
1,B,0.00,0.00,0.5000,0.0001,OFF,0.0402,0.6722,0.2020,0.0857,SWITCH
1,C,0.00,0.00,0.5000,0.0001,OFF,0.0397,0.6738,0.2023,0.0842,SWITCH
1,D,0.00,0.00,0.5000,0.0001,OFF,0.0400,0.6727,0.2027,0.0847,SWITCH
2,A,0.00,0.00,0.5000,0.0001,OFF,0.0395,0.6747,0.2017,0.0841,SWITCH
2,B,0.00,0.00,0.5000,0.0001,OFF,0.0402,0.6722,0.2020,0.0857,SWITCH
2,C,0.00,0.00,0.5000,0.0001,OFF,0.0397,0.6739,0.2023,0.0842,SWITCH
2,D,0.00,0.00,0.5000,0.0001,OFF,0.0400,0.6725,0.2028,0.0847,SWITCH
3,A,0.00,0.00,0.5000,0.0001,OFF,0.0400,0.6727,0.2025,0.0848,SWITCH
3,B,0.00,0.00,0.5000,0.0001,OFF,0.0408,0.6697,0.2029,0.0866,SWITCH
3,C,0.00,0.00,0.5000,0.0001,OFF,0.0403,0.6715,0.2032,0.0849,SWITCH
3,D,0.00,0.00,0.5000,0.0001,OFF,0.0407,0.6697,0.2039,0.0856,SWITCH
4,A,0.00,0.00,0.0469,0.0001,OFF,0.0402,0.6722,0.2027,0.0850,SWITCH
4,B,1.00,1.00,0.0375,0.0001,OFF,0.0410,0.6691,0.2031,0.0868,SWITCH
4,C,0.00,0.00,0.0375,0.0001,OFF,0.0404,0.6713,0.2033,0.0850,SWITCH
4,D,0.00,0.00,0.0469,0.0001,OFF,0.0407,0.6698,0.2039,0.0856,SWITCH
5,A,2.00,7.00,0.0531,0.0001,OFF,0.0396,0.6744,0.2017,0.0843,SWITCH
5,B,3.00,10.00,0.3905,0.0001,OFF,0.0403,0.6718,0.2021,0.0858,SWITCH
5,C,1.00,5.00,0.0406,0.0001,OFF,0.0400,0.6730,0.2026,0.0845,SWITCH
5,D,1.00,3.00,0.0531,0.0001,OFF,0.0401,0.6722,0.2029,0.0848,SWITCH
